Variable,Table,Type,Description
L464,ANALYSIS_MUNICIPAL,float,
L466,ANALYSIS_MUNICIPAL,float,
L468,ANALYSIS_MUNICIPAL,float,
L470,ANALYSIS_MUNICIPAL,float,
L472,ANALYSIS_MUNICIPAL,float,
L474,ANALYSIS_MUNICIPAL,float,
L476,ANALYSIS_MUNICIPAL,float,
L478,ANALYSIS_MUNICIPAL,float,
L480,ANALYSIS_MUNICIPAL,float,
L488,ANALYSIS_MUNICIPAL,float,
L490,ANALYSIS_MUNICIPAL,float,
L500,ANALYSIS_MUNICIPAL,float,
L505,ANALYSIS_MUNICIPAL,float,
L510,ANALYSIS_MUNICIPAL,float,
L515,ANALYSIS_MUNICIPAL,float,
L520,ANALYSIS_MUNICIPAL,float,
L525,ANALYSIS_MUNICIPAL,float,
L530,ANALYSIS_MUNICIPAL,float,
L540,ANALYSIS_MUNICIPAL,float,
L550,ANALYSIS_MUNICIPAL,float,
L560,ANALYSIS_MUNICIPAL,float,
L570,ANALYSIS_MUNICIPAL,float,
L580,ANALYSIS_MUNICIPAL,float,
L590,ANALYSIS_MUNICIPAL,float,
L600,ANALYSIS_MUNICIPAL,float,
L601,ANALYSIS_MUNICIPAL,float,
L610,ANALYSIS_MUNICIPAL,float,
L612,ANALYSIS_MUNICIPAL,float,
L614,ANALYSIS_MUNICIPAL,float,
L615,ANALYSIS_MUNICIPAL,float,
L620,ANALYSIS_MUNICIPAL,float,
L622,ANALYSIS_MUNICIPAL,float,
L623,ANALYSIS_MUNICIPAL,float,
L625,ANALYSIS_MUNICIPAL,float,
L630,ANALYSIS_MUNICIPAL,float,
L632,ANALYSIS_MUNICIPAL,float,
L634,ANALYSIS_MUNICIPAL,float,
L640,ANALYSIS_MUNICIPAL,float,
L642,ANALYSIS_MUNICIPAL,float,
L650,ANALYSIS_MUNICIPAL,float,
L652,ANALYSIS_MUNICIPAL,float,
L654,ANALYSIS_MUNICIPAL,float,
L660,ANALYSIS_MUNICIPAL,float,
L999,ANALYSIS_MUNICIPAL,float,
LBASEMENT,ANALYSIS_MUNICIPAL,integer,presence of residential land use with basements in DRUID
LMULTIFAM,ANALYSIS_MUNICIPAL,integer,presence of multi-family residential land use in DRUID
LRESIDENT,ANALYSIS_MUNICIPAL,integer,presence of residential land use in DRUID
MANCOMP,ANALYSIS_MUNICIPAL,integer,presence of combined sewer manhole in DRUID
MANSANP,ANALYSIS_MUNICIPAL,integer,presence of sanitary sewer manhole in DRUID
MANSTRP,ANALYSIS_MUNICIPAL,integer,presence of storm sewer manhole in DRUID
MCH050,ANALYSIS_MUNICIPAL,integer,the DRUID is within 0-50m of a STORM (yes:1 no:0)
MCH100,ANALYSIS_MUNICIPAL,integer,the DRUID is within 50-100m of a STORM (yes:1 no:0)
MCH200,ANALYSIS_MUNICIPAL,integer,the DRUID is within 100m-200m of a STORM (yes:1 no:0)
MCH500,ANALYSIS_MUNICIPAL,integer,the DRUID is within 200m-500m of a STORM (yes:1 no:0)
MCH500P,ANALYSIS_MUNICIPAL,integer,the DRUID is >500m from a STORM (yes:1 no:0)
MCULCDH,ANALYSIS_MUNICIPAL,float,horizontal distance of DRUID centroid to nearest CULVERT
MCULCDV,ANALYSIS_MUNICIPAL,float,vertical distance of DRUID centroid to nearest CULVERT
MCULCH050,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 50m horizontal of a CULVERT (yes:1 no:0)
MCULCH100,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 100m horizontal of a CULVERT (yes:1 no:0)
MCULCH200,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 200m horizontal of a CULVERT (yes:1 no:0)
MCULCH500,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 500m horizontal of a CULVERT (yes:1 no:0)
MCULCH500P,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is beyond 500m horizontal of a CULVERT (yes:1 no:0)
MCULCV05,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 5m vertical of a CULVERT (yes:1 no:0)
MCULCV10,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 10m vertical of a CULVERT (yes:1 no:0)
MCULCV20,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 20m vertical of a CULVERT (yes:1 no:0)
MCULCV20P,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is above 20m vertical of a CULVERT (yes:1 no:0)
MCULCVNEG,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is below a CULVERT (yes:1 no:0)
MCULEDH,ANALYSIS_MUNICIPAL,float,horizontal distance of DRUID edge to nearest CULVERT
MCULEDV,ANALYSIS_MUNICIPAL,float,vertical distance of DRUID edge to nearest CULVERT
MCULP,ANALYSIS_MUNICIPAL,integer,presence of CULVERT in DRUID
MDITCDH,ANALYSIS_MUNICIPAL,float,horizontal distance of DRUID centroid to nearest DITCH
MDITCDV,ANALYSIS_MUNICIPAL,float,vertical distance of DRUID centroid to nearest DITCH
MDITCH050,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 50m horizontal of a DITCH (yes:1 no:0)
MDITCH100,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 100m horizontal of a DITCH (yes:1 no:0)
MDITCH200,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 200m horizontal of a DITCH (yes:1 no:0)
MDITCH500,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 500m horizontal of a DITCH (yes:1 no:0)
MDITCH500P,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is beyond 500m horizontal of a DITCH (yes:1 no:0)
MDITCV05,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 5m vertical of a DITCH (yes:1 no:0)
MDITCV10,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 10m vertical of a DITCH (yes:1 no:0)
MDITCV20,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 20m vertical of a DITCH (yes:1 no:0)
MDITCV20P,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is above 20m vertical of a DITCH (yes:1 no:0)
MDITCVNEG,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is below a DITCH (yes:1 no:0)
MDITEDH,ANALYSIS_MUNICIPAL,float,horizontal distance of DRUID edge to nearest DITCH
MDITEDV,ANALYSIS_MUNICIPAL,float,vertical distance of DRUID edge to nearest DITCH
MDITP,ANALYSIS_MUNICIPAL,integer,presence of DITCH in DRUID
MOTHCDH,ANALYSIS_MUNICIPAL,float,horizontal distance of DRUID centroid to nearest OTHER STORM
MOTHCDV,ANALYSIS_MUNICIPAL,float,vertical distance of DRUID centroid to nearest OTHER STORM
MOTHCH050,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 50m horizontal of a OTHER STORM (yes:1 no:0)
MOTHCH100,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 100m horizontal of a OTHER STORM (yes:1 no:0)
MOTHCH200,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 200m horizontal of a OTHER STORM (yes:1 no:0)
MOTHCH500,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 500m horizontal of a OTHER STORM (yes:1 no:0)
MOTHCH500P,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is beyond 500m horizontal of a OTHER STORM (yes:1 no:0)
MOTHCV05,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 5m vertical of a OTHER STORM (yes:1 no:0)
MOTHCV10,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 10m vertical of a OTHER STORM (yes:1 no:0)
MOTHCV20,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is within 20m vertical of a OTHER STORM (yes:1 no:0)
MOTHCV20P,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is above 20m vertical of a OTHER STORM (yes:1 no:0)
MOTHCVNEG,ANALYSIS_MUNICIPAL,integer,the DRUID centroid is below a OTHER STORM (yes:1 no:0)
MOTHEDH,ANALYSIS_MUNICIPAL,float,horizontal distance of DRUID edge to nearest OTHER STORM
MOTHEDV,ANALYSIS_MUNICIPAL,float,vertical distance of DRUID edge to nearest OTHER STORM
MOTHP,ANALYSIS_MUNICIPAL,integer,presence of OTHER STORM in DRUID
OBWP,ANALYSIS_MUNICIPAL,integer,presence of backwater valve in DRUID
OICP,ANALYSIS_MUNICIPAL,integer,presence of inspection chamber in DRUID
OLSP,ANALYSIS_MUNICIPAL,integer,presence of lift station in DRUID
OPIP,ANALYSIS_MUNICIPAL,integer,presence of private infrastructure in DRUID
ORLP,ANALYSIS_MUNICIPAL,integer,presence of roof leader in DRUID
PCLCNT,ANALYSIS_MUNICIPAL,float,parcel count within the DRUID.
PCLDEN,ANALYSIS_MUNICIPAL,float,parcel density within the DRUID. [# parcels/DRUID area]
PCLDEND0,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID parcel density distribution
PCLDEND1,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID parcel density distribution
PCLDEND2,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID parcel density distribution
PCLDEND3,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID parcel density distribution
PCLDEND4,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID parcel density distribution
PCLDEND5,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID parcel density distribution
PCLDEND6,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID parcel density distribution
PCLDEND7,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID parcel density distribution
PCLDEND8,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID parcel density distribution
PCLDEND9,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID parcel density distribution
PCLDEND10,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID parcel density distribution
PCLDENI,ANALYSIS_MUNICIPAL,float,parcel density inverse within the DRUID. [DRUID area/# parcels] assume min 1 parcel per DRUID
PCLP,ANALYSIS_MUNICIPAL,integer,presence of parcel in DRUID
RDDEN,ANALYSIS_MUNICIPAL,float,NRN density within the DRUID. [total road length/DRUID area]
RDDEND0,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID road density distribution
RDDEND1,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID road density distribution
RDDEND2,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID road density distribution
RDDEND3,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID road density distribution
RDDEND4,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID road density distribution
RDDEND5,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID road density distribution
RDDEND6,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID road density distribution
RDDEND7,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID road density distribution
RDDEND8,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID road density distribution
RDDEND9,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID road density distribution
RDDEND10,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID road density distribution
RDDENI,ANALYSIS_MUNICIPAL,float,NRN density inverse within the DRUID. [DRUID area/total road length] assume min 1 road per DRUID
RDP,ANALYSIS_MUNICIPAL,integer,presence of NRN in DRUID
SAGE0,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID with no age
SAGE1,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID in age class 1 (0-5years)
SAGE2,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID in age class 2 (5-20years)
SAGE3,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID in age class 3 (20-50years)
SAGE4,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID in age class 4 (50-70years)
SAGE5,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID in age class 5 (>70years)
SAGECOM0,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is combined with no age
SAGECOM1,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is combined in age class 1 (0-5years)
SAGECOM2,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is combined in age class 2 (5-20years)
SAGECOM3,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is combined in age class 3 (20-50years)
SAGECOM4,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is combined in age class 4 (50-70years)
SAGECOM5,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is combined in age class 5 (>70years)
SAGECOMD0,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer age at minimum
SAGECOMD1,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer age distribution by length in decile 1
SAGECOMD10,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer age distribution by length in decile 10
SAGECOMD2,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer age distribution by length in decile 2
SAGECOMD3,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer age distribution by length in decile 3
SAGECOMD4,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer age distribution by length in decile 4
SAGECOMD5,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer age distribution by length in decile 5
SAGECOMD6,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer age distribution by length in decile 6
SAGECOMD7,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer age distribution by length in decile 7
SAGECOMD8,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer age distribution by length in decile 8
SAGECOMD9,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer age distribution by length in decile 9
SAGED0,ANALYSIS_MUNICIPAL,float,within DRUID sewer age at minimum
SAGED1,ANALYSIS_MUNICIPAL,float,within DRUID sewer age distribution by length in decile 1
SAGED10,ANALYSIS_MUNICIPAL,float,within DRUID sewer age distribution by length in decile
SAGED2,ANALYSIS_MUNICIPAL,float,within DRUID sewer age distribution by length in decile 2
SAGED3,ANALYSIS_MUNICIPAL,float,within DRUID sewer age distribution by length in decile 3
SAGED4,ANALYSIS_MUNICIPAL,float,within DRUID sewer age distribution by length in decile 4
SAGED5,ANALYSIS_MUNICIPAL,float,within DRUID sewer age distribution by length in decile
SAGED6,ANALYSIS_MUNICIPAL,float,within DRUID sewer age distribution by length in decile
SAGED7,ANALYSIS_MUNICIPAL,float,within DRUID sewer age distribution by length in decile
SAGED8,ANALYSIS_MUNICIPAL,float,within DRUID sewer age distribution by length in decile
SAGED9,ANALYSIS_MUNICIPAL,float,within DRUID sewer age distribution by length in decile
SAGEOTH0,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is other with no age
SAGEOTH1,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is other in age class 1 (0-5years)
SAGEOTH2,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is other in age class 2 (5-20years)
SAGEOTH3,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is other in age class 3 (20-50years)
SAGEOTH4,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is other in age class 4 (50-70years)
SAGEOTH5,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is other in age class 5 (>70years)
SAGEOTHD0,ANALYSIS_MUNICIPAL,float,within DRUID other sewer age at minimum
SAGEOTHD1,ANALYSIS_MUNICIPAL,float,within DRUID other sewer age distribution by length in decile 1
SAGEOTHD10,ANALYSIS_MUNICIPAL,float,within DRUID other sewer age distribution by length in decile 10
SAGEOTHD2,ANALYSIS_MUNICIPAL,float,within DRUID other sewer age distribution by length in decile 2
SAGEOTHD3,ANALYSIS_MUNICIPAL,float,within DRUID other sewer age distribution by length in decile 3
SAGEOTHD4,ANALYSIS_MUNICIPAL,float,within DRUID other sewer age distribution by length in decile 4
SAGEOTHD5,ANALYSIS_MUNICIPAL,float,within DRUID other sewer age distribution by length in decile 5
SAGEOTHD6,ANALYSIS_MUNICIPAL,float,within DRUID other sewer age distribution by length in decile 6
SAGEOTHD7,ANALYSIS_MUNICIPAL,float,within DRUID other sewer age distribution by length in decile 7
SAGEOTHD8,ANALYSIS_MUNICIPAL,float,within DRUID other sewer age distribution by length in decile 8
SAGEOTHD9,ANALYSIS_MUNICIPAL,float,within DRUID other sewer age distribution by length in decile 9
SAGESAN0,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is sanitary with no age
SAGESAN1,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is sanitary in age class 1 (0-5years)
SAGESAN2,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is sanitary in age class 2 (5-20years)
SAGESAN3,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is sanitary in age class 3 (20-50years)
SAGESAN4,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is sanitary in age class 4 (50-70years)
SAGESAN5,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is sanitary in age class 5 (>70years)
SAGESAND0,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer age at minimum
SAGESAND1,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer age distribution by length in decile 1
SAGESAND10,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer age distribution by length in decile 10
SAGESAND2,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer age distribution by length in decile 2
SAGESAND3,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer age distribution by length in decile 3
SAGESAND4,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer age distribution by length in decile 4
SAGESAND5,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer age distribution by length in decile 5
SAGESAND6,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer age distribution by length in decile 6
SAGESAND7,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer age distribution by length in decile 7
SAGESAND8,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer age distribution by length in decile 8
SAGESAND9,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer age distribution by length in decile 9
SAGESTR0,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is storm with no age
SAGESTR1,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is storm in age class 1 (0-5years)
SAGESTR2,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is storm in age class 2 (5-20years)
SAGESTR3,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is storm in age class 3 (20-50years)
SAGESTR4,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is storm in age class 4 (50-70years)
SAGESTR5,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is storm in age class 5 (>70years)
SAGESTRD0,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer age at minimum
SAGESTRD1,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer age distribution by length in decile 1
SAGESTRD10,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer age distribution by length in decile 10
SAGESTRD2,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer age distribution by length in decile 2
SAGESTRD3,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer age distribution by length in decile 3
SAGESTRD4,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer age distribution by length in decile 4
SAGESTRD5,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer age distribution by length in decile 5
SAGESTRD6,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer age distribution by length in decile 6
SAGESTRD7,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer age distribution by length in decile 7
SAGESTRD8,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer age distribution by length in decile 8
SAGESTRD9,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer age distribution by length in decile 9
SCOMZERO,ANALYSIS_MUNICIPAL,float,DRUID contains sanitary storm and combined assumption that combined not used therefore combined indices zeroed
SDEN,ANALYSIS_MUNICIPAL,float,sewer density within the DRUID. [total pipe length/DRUID area]
SDENCOM,ANALYSIS_MUNICIPAL,float,combined sewer density within the DRUID. [combined pipe length/DRUID area]
SDENCOMD10,ANALYSIS_MUNICIPAL,float,decile distribution (0-10) of combined sewer density across DRUIDs
SDEND10,ANALYSIS_MUNICIPAL,float,decile distribution (0-10) of sewer density across DRUIDs
SDENOTH,ANALYSIS_MUNICIPAL,float,other sewer density within the DRUID. [combined pipe length/DRUID area]
SDENOTHD10,ANALYSIS_MUNICIPAL,float,decile distribution (0-10) of other sewer density across DRUIDs
SDENSAN,ANALYSIS_MUNICIPAL,float,sanitary sewer density within the DRUID. [sanitary pipe length/DRUID area]
SDENSAND10,ANALYSIS_MUNICIPAL,float,decile distribution (0-10) of sanitary sewer density across DRUIDs
SDENSTR,ANALYSIS_MUNICIPAL,float,storm sewer density within the DRUID. [storm pipe length/DRUID area]
SDENSTRD10,ANALYSIS_MUNICIPAL,float,decile distribution (0-10) of storm sewer density across DRUIDs
SDIA0,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID with no diameter
SDIA1,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID in diameter class 1 (0-200mm)
SDIA2,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID in diameter class 2 (200-300mm)
SDIA3,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID in diameter class 3 (300-450mm)
SDIA4,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID in diameter class 4 (450-750mm)
SDIA5,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID in diameter class 5 (750-1200mm)
SDIA6,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID in diameter class 6 (>1200mm)
SDIACOM0,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is combined with no diameter
SDIACOM1,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is combined in diameter class 1 (0-400mm)
SDIACOM2,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is combined in diameter class 2 (400-750mm)
SDIACOM3,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is combined in diameter class 3 (>750mm)
SDIACOM4,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is combined in diameter class 4 (450-750mm)
SDIACOM5,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is combined in diameter class 5 (750-1200mm)
SDIACOM6,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is combined in diameter class 6 (>1200mm)
SDIACOMD0,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer diameter at minimum
SDIACOMD1,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer diameter distribution by length in decile 1
SDIACOMD10,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer diameter distribution by length in decile 10
SDIACOMD2,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer diameter distribution by length in decile 2
SDIACOMD3,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer diameter distribution by length in decile 3
SDIACOMD4,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer diameter distribution by length in decile 4
SDIACOMD5,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer diameter distribution by length in decile 5
SDIACOMD6,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer diameter distribution by length in decile 6
SDIACOMD7,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer diameter distribution by length in decile 7
SDIACOMD8,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer diameter distribution by length in decile 8
SDIACOMD9,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer diameter distribution by length in decile 9
SDIAD0,ANALYSIS_MUNICIPAL,float,within DRUID sewer diameter at minimum
SDIAD1,ANALYSIS_MUNICIPAL,float,within DRUID sewer diameter distribution by length in decile 1
SDIAD10,ANALYSIS_MUNICIPAL,float,within DRUID sewer diameter distribution by length in decile 10
SDIAD2,ANALYSIS_MUNICIPAL,float,within DRUID sewer diameter distribution by length in decile 2
SDIAD3,ANALYSIS_MUNICIPAL,float,within DRUID sewer diameter distribution by length in decile 3
SDIAD4,ANALYSIS_MUNICIPAL,float,within DRUID sewer diameter distribution by length in decile 4
SDIAD5,ANALYSIS_MUNICIPAL,float,within DRUID sewer diameter distribution by length in decile 5
SDIAD6,ANALYSIS_MUNICIPAL,float,within DRUID sewer diameter distribution by length in decile 6
SDIAD7,ANALYSIS_MUNICIPAL,float,within DRUID sewer diameter distribution by length in decile 7
SDIAD8,ANALYSIS_MUNICIPAL,float,within DRUID sewer diameter distribution by length in decile 8
SDIAD9,ANALYSIS_MUNICIPAL,float,within DRUID sewer diameter distribution by length in decile 9
SDIAOTH0,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is other with no diameter
SDIAOTH1,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is other in diameter class 1 (0-400mm)
SDIAOTH2,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is other in diameter class 2 (400-750mm)
SDIAOTH3,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is other in diameter class 3 (>750mm)
SDIAOTH4,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is other in diameter class 4 (450-750mm)
SDIAOTH5,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is other in diameter class 5 (750-1200mm)
SDIAOTH6,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is other in diameter class 6 (>1200mm)
SDIAOTHD0,ANALYSIS_MUNICIPAL,float,within DRUID other sewer diameter at minimum
SDIAOTHD1,ANALYSIS_MUNICIPAL,float,within DRUID other sewer diameter distribution by length in decile 1
SDIAOTHD10,ANALYSIS_MUNICIPAL,float,within DRUID other sewer diameter distribution by length in decile 10
SDIAOTHD2,ANALYSIS_MUNICIPAL,float,within DRUID other sewer diameter distribution by length in decile 2
SDIAOTHD3,ANALYSIS_MUNICIPAL,float,within DRUID other sewer diameter distribution by length in decile 3
SDIAOTHD4,ANALYSIS_MUNICIPAL,float,within DRUID other sewer diameter distribution by length in decile 4
SDIAOTHD5,ANALYSIS_MUNICIPAL,float,within DRUID other sewer diameter distribution by length in decile 5
SDIAOTHD6,ANALYSIS_MUNICIPAL,float,within DRUID other sewer diameter distribution by length in decile 6
SDIAOTHD7,ANALYSIS_MUNICIPAL,float,within DRUID other sewer diameter distribution by length in decile 7
SDIAOTHD8,ANALYSIS_MUNICIPAL,float,within DRUID other sewer diameter distribution by length in decile 8
SDIAOTHD9,ANALYSIS_MUNICIPAL,float,within DRUID other sewer diameter distribution by length in decile 9
SDIASAN0,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is sanitary with no diameter
SDIASAN1,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is sanitary in diameter class 1 (0-400mm)
SDIASAN2,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is sanitary in diameter class 2 (400-750mm)
SDIASAN3,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is sanitary in diameter class 3 (>750mm)
